timestamp,action,price
2025-06-11 08:25:00,BUY,23940.24
2025-06-11 09:05:00,SELL,23942.74
2025-06-11 11:15:00,BUY,24064.99
2025-06-11 12:35:00,SELL,24053.49
2025-06-11 14:20:00,BUY,23981.49
2025-06-11 15:40:00,SELL,24091.49
2025-06-11 15:55:00,BUY,24051.49
2025-06-11 17:55:00,SELL,24002.49
2025-06-11 19:25:00,BUY,23937.99
2025-06-11 19:35:00,SELL,23931.84
2025-06-11 21:35:00,BUY,23875.34
2025-06-11 22:55:00,SELL,23851.24
2025-06-12 08:40:00,BUY,23770.85
2025-06-12 08:45:00,SELL,23777.85
2025-06-12 10:45:00,BUY,23683.1
2025-06-12 12:00:00,SELL,23710.1
2025-06-12 13:10:00,BUY,23645.6
2025-06-12 14:05:00,SELL,23670.1
2025-06-12 15:55:00,BUY,23745.1
2025-06-12 17:30:00,SELL,23871.1
2025-06-12 18:30:00,BUY,23757.6
2025-06-13 04:50:00,SELL,23420.63
2025-06-13 08:05:00,BUY,23351.13
2025-06-13 11:15:00,SELL,23520.38
2025-06-13 11:35:00,BUY,23410.38
2025-06-13 12:50:00,SELL,23449.88
2025-06-13 13:35:00,BUY,23393.88
2025-06-13 14:20:00,SELL,23424.38
2025-06-13 14:25:00,BUY,23411.88
2025-06-13 14:50:00,SELL,23500.38
2025-06-13 16:55:00,BUY,23439.88
2025-06-13 18:45:00,SELL,23514.38
2025-06-13 21:35:00,BUY,23375.73
2025-06-16 03:15:00,SELL,23427.3
2025-06-16 07:45:00,BUY,23405.4
2025-06-16 11:35:00,SELL,23593.15
2025-06-16 16:15:00,BUY,23581.15
2025-06-16 17:40:00,SELL,23693.65
2025-06-17 03:20:00,BUY,23493.88
2025-06-17 04:05:00,SELL,23517.88
2025-06-17 07:35:00,BUY,23478.88
2025-06-17 08:40:00,SELL,23517.88
2025-06-17 10:05:00,BUY,23425.63
2025-06-17 11:40:00,SELL,23407.63
2025-06-17 12:15:00,BUY,23403.63
2025-06-17 14:00:00,SELL,23457.63
2025-06-17 16:40:00,BUY,23451.13
2025-06-17 18:05:00,SELL,23487.63
