timestamp,action,price
2025-06-11 02:05:00,SELL,6029.03
2025-06-11 12:55:00,BUY,6027.31
2025-06-11 14:35:00,SELL,6027.31
2025-06-11 16:30:00,BUY,6039.81
2025-06-11 18:40:00,SELL,6047.07
2025-06-11 21:20:00,BUY,6018.07
2025-06-11 23:30:00,SELL,6024.78
2025-06-12 08:40:00,BUY,6004.27
2025-06-12 09:30:00,SELL,6011.05
2025-06-12 10:30:00,BUY,6007.8
2025-06-12 12:35:00,SELL,6004.55
2025-06-12 13:20:00,BUY,5991.8
2025-06-12 17:35:00,SELL,6038.81
2025-06-12 22:15:00,BUY,6044.81
2025-06-13 01:25:00,SELL,6031.81
2025-06-13 04:25:00,BUY,5943.81
2025-06-13 04:45:00,SELL,5952.81
2025-06-13 05:45:00,BUY,5939.31
2025-06-13 06:20:00,SELL,5948.93
2025-06-13 07:35:00,BUY,5946.31
2025-06-13 11:55:00,SELL,5970.84
2025-06-13 13:30:00,BUY,5976.09
2025-06-13 16:30:00,SELL,6004.09
2025-06-13 17:20:00,BUY,5983.1
2025-06-13 18:35:00,SELL,6011.85
2025-06-13 21:45:00,BUY,5968.6
2025-06-13 23:35:00,SELL,5979.56
2025-06-16 01:20:00,BUY,5970.85
2025-06-16 02:40:00,SELL,5984.85
2025-06-16 08:30:00,BUY,5991.85
2025-06-16 11:20:00,SELL,6005.88
2025-06-16 13:55:00,BUY,6009.88
2025-06-16 17:30:00,SELL,6051.39
2025-06-16 18:25:00,BUY,6041.89
2025-06-16 18:30:00,SELL,6042.89
2025-06-17 02:40:00,BUY,6009.54
2025-06-17 04:05:00,SELL,6008.79
2025-06-17 05:15:00,BUY,6002.92
2025-06-17 08:25:00,SELL,6011.29
2025-06-17 09:30:00,BUY,6016.7
2025-06-17 11:50:00,SELL,6002.45
2025-06-17 12:35:00,BUY,5997.7
2025-06-17 17:55:00,SELL,6012.46
2025-06-17 21:20:00,BUY,5981.46
2025-06-17 21:55:00,SELL,5988.46
2025-06-18 02:55:00,BUY,5969.86
2025-06-18 14:55:00,SELL,5993.52
2025-06-18 15:35:00,BUY,5988.02
2025-06-18 18:45:00,SELL,6008.78
2025-06-18 21:25:00,BUY,6000.78
2025-06-18 21:35:00,SELL,6004.28
2025-06-18 22:05:00,BUY,5980.53
2025-06-18 23:20:00,SELL,5983.49
2025-06-19 08:00:00,BUY,5972.78
2025-06-19 09:00:00,SELL,5965.4
2025-06-19 11:00:00,BUY,5954.56
2025-06-19 11:35:00,SELL,5953.81
2025-06-19 14:20:00,BUY,5950.68
2025-06-19 14:25:00,SELL,5950.81
2025-06-19 16:40:00,BUY,5931.82
2025-06-19 17:55:00,SELL,5932.07
2025-06-19 18:55:00,BUY,5920.57
