time,open,high,low,close,volume
2025-06-10 18:55:00,23993.38,24000.38,23992.88,23997.88,42
2025-06-10 18:56:00,23998.38,24003.88,23997.88,23998.38,28
2025-06-10 18:57:00,23998.38,24001.38,23997.38,23999.38,41
2025-06-10 18:58:00,23999.38,23999.38,23994.38,23995.38,23
2025-06-10 18:59:00,23995.38,23997.38,23993.88,23995.38,39
2025-06-10 19:00:00,23995.38,23997.88,23992.88,23995.88,58
2025-06-10 19:01:00,23995.38,24004.38,23995.38,24002.88,82
2025-06-10 19:02:00,24003.38,24008.88,24002.38,24002.38,48
2025-06-10 19:03:00,24001.88,24004.38,23999.88,24001.88,40
2025-06-10 19:04:00,24000.88,24009.88,24000.88,24009.88,37
2025-06-10 19:05:00,24010.38,24013.88,24008.38,24013.38,41
2025-06-10 19:06:00,24013.38,24013.38,24007.88,24012.38,46
2025-06-10 19:07:00,24012.38,24015.88,24011.88,24015.38,25
2025-06-10 19:08:00,24015.38,24015.38,24012.38,24013.38,26
2025-06-10 19:09:00,24012.38,24012.38,24007.88,24008.38,31
2025-06-10 19:10:00,24008.38,24010.88,24006.38,24010.88,35
2025-06-10 19:11:00,24010.38,24012.38,24008.88,24009.88,18
2025-06-10 19:12:00,24009.88,24009.88,23998.38,23998.38,35
2025-06-10 19:13:00,23998.38,23999.88,23997.88,23999.38,24
2025-06-10 19:14:00,23998.88,24002.38,23998.88,24001.38,25
2025-06-10 19:15:00,24001.38,24002.38,23998.88,23999.38,36
2025-06-10 19:16:00,23997.38,24002.38,23997.38,24001.38,28
2025-06-10 19:17:00,24001.38,24001.88,23999.38,23999.88,31
2025-06-10 19:18:00,23999.38,23999.88,23996.38,23998.38,29
2025-06-10 19:19:00,23998.38,23999.88,23996.38,23998.38,20
2025-06-10 19:20:00,23998.38,23998.38,23993.38,23997.38,42
2025-06-10 19:21:00,23997.38,23998.38,23995.38,23997.38,23
2025-06-10 19:22:00,23997.38,23997.38,23995.38,23995.88,13
2025-06-10 19:23:00,23995.38,23996.38,23993.38,23995.38,39
2025-06-10 19:24:00,23995.38,23997.38,23992.88,23995.88,26
2025-06-10 19:25:00,23995.88,23997.38,23992.88,23993.38,26
2025-06-10 19:26:00,23993.88,24003.88,23990.88,23997.38,69
2025-06-10 19:27:00,23996.88,23997.88,23992.38,23996.38,40
2025-06-10 19:28:00,23995.88,23998.88,23991.88,23992.38,58
2025-06-10 19:29:00,23992.38,23992.88,23989.88,23991.88,37
2025-06-10 19:30:00,23992.38,23995.38,23991.38,23993.38,48
2025-06-10 19:31:00,23993.23,23995.23,23991.73,23992.23,32
2025-06-10 19:32:00,23992.23,23994.73,23991.23,23993.23,25
2025-06-10 19:33:00,23993.73,23994.23,23991.73,23993.23,39
2025-06-10 19:34:00,23993.23,23994.23,23992.73,23993.23,20
2025-06-10 19:35:00,23994.23,23994.73,23988.73,23990.73,36
2025-06-10 19:36:00,23990.73,23990.73,23986.73,23989.23,37
2025-06-10 19:37:00,23989.23,23989.73,23987.73,23988.23,25
2025-06-10 19:38:00,23988.23,23989.23,23986.23,23987.23,14
2025-06-10 19:39:00,23987.23,23988.23,23987.23,23988.23,38
2025-06-10 19:40:00,23988.23,23988.23,23983.23,23983.23,49
2025-06-10 19:41:00,23982.73,23988.23,23982.73,23986.23,34
2025-06-10 19:42:00,23984.23,23986.73,23984.23,23986.23,33
2025-06-10 19:43:00,23986.23,23989.23,23986.23,23989.23,21
2025-06-10 19:44:00,23988.23,23989.23,23981.23,23983.23,48
2025-06-10 19:45:00,23983.23,23987.73,23983.23,23987.73,38
2025-06-10 19:46:00,23987.23,23989.23,23982.73,23984.23,14
2025-06-10 19:47:00,23984.23,23989.23,23984.23,23988.73,36
2025-06-10 19:48:00,23988.73,23988.73,23987.23,23987.73,19
